book_id	primary	secondary	tertiary
000000037	Non-Fiction	Topography	Great Britain & Ireland
000000196	Non-Fiction	Poetry	English Selections
000000206	Fiction	Fiction	English 1 & 2 Volume Novels
000000216	Fiction	Fiction	English 3 Volume Novels
000000218	Fiction	Fiction	English 3 Volume Novels
000000472	Non-Fiction	Topography	Scotch
000000478	Non-Fiction	Topography	Scotch
000000480	Non-Fiction	History	General
000000481	Non-Fiction	History	General
000000501	Fiction	Fiction	English 3 Volume Novels
000000519	Fiction	Fiction	English 2 Volume Novels
000000692	Non-Fiction	Poetry	English
000000785	Non-Fiction	Topography	Great Britain & Ireland
000000892	Non-Fiction	Drama	English, Separate Plays, 19th Century
000001052	Non-Fiction	Poetry	English, Separate Works, 19th Century
000001079	Non-Fiction	Poetry	English, Separate Works, 19th Century
000001280	Non-Fiction	Voyages & Travels	Great Britain
000001282	Fiction	Fiction	English 3 Volume Novels
000002678	Non-Fiction	Plays	
000002679	Non-Fiction	Plays	
000002854	Fiction	Fiction	English 3 Volume Novels
000003062	Non-Fiction	Topography	Indian, Chinese, Japanese
000003131	Non-Fiction	History	United States of America
000003160	Non-Fiction	Topography	United States of America
000003512	Fiction	Fiction	English 3 Volume Novels
000003625	Fiction	Fiction	English 3 Volume Novels
000003693	Non-Fiction	History	Swiss
000003727	Non-Fiction	History	United States of America
000003728	Non-Fiction	History	United States of America
000003729	Non-Fiction	History	French & English Colonies in the United States of America
000003730	Non-Fiction	History	Mexico & South America
000003739	Non-Fiction	Topography	Scotch
000003768	Non-Fiction	History	United States of America
000003783	Fiction	Fiction	English 3 Volume Novels
000004047	Non-Fiction	History	Ancient Greek
000004336	Non-Fiction	Voyages & Travels	Eastern Europe
000004337	Non-Fiction	Voyages & Travels	
000004338	Non-Fiction	Voyages & Travels	
000004402	Non-Fiction	History	French
000004414	Non-Fiction	History	United States of America
000004427	Non-Fiction	History	Holy Roman Empire, Hungarian
000004428	Non-Fiction	Topography	Russian, Polish
000004439	Non-Fiction	History	Spanish
000004466	Non-Fiction	Poetry	English, Separate Works, 19th Century
000004507	Fiction	Fiction	English 3 Volume Novels
