volume_id	book_id	volume_num	total	path	filesize
000000037_01	000000037	1	1	0000/000000037_01_text.txt	43
000000196_01	000000196	1	1	0000/000000196_01_text.txt	217
000000206_01	000000206	1	1	0000/000000206_01_text.txt	380
000000216_01	000000216	1	2	0000/000000216_01_text.txt	218
000000216_02	000000216	2	2	0000/000000216_02_text.txt	196
000000218_01	000000218	1	3	0000/000000218_01_text.txt	283
000000218_02	000000218	2	3	0000/000000218_02_text.txt	289
000000218_03	000000218	3	3	0000/000000218_03_text.txt	268
000000472_01	000000472	1	1	0000/000000472_01_text.txt	363
000000478_01	000000478	1	1	0000/000000478_01_text.txt	425
000000480_01	000000480	1	1	0000/000000480_01_text.txt	1386
000000481_01	000000481	1	1	0000/000000481_01_text.txt	1430
000000501_01	000000501	1	1	0000/000000501_01_text.txt	171
000000519_01	000000519	1	1	0000/000000519_01_text.txt	255
000000692_01	000000692	1	1	0000/000000692_01_text.txt	149
000000785_01	000000785	1	1	0000/000000785_01_text.txt	37
000000892_01	000000892	1	1	0000/000000892_01_text.txt	75
000001052_01	000001052	1	1	0000/000001052_01_text.txt	29
000001079_01	000001079	1	1	0000/000001079_01_text.txt	131
000001280_01	000001280	1	1	0000/000001280_01_text.txt	383
000001282_01	000001282	1	1	0000/000001282_01_text.txt	359
000002678_01	000002678	1	1	0000/000002678_01_text.txt	19
000002679_01	000002679	1	1	0000/000002679_01_text.txt	83
000002854_01	000002854	1	2	0000/000002854_01_text.txt	593
000002854_02	000002854	2	2	0000/000002854_02_text.txt	345
000003062_01	000003062	1	1	0000/000003062_01_text.txt	65
000003131_01	000003131	1	1	0000/000003131_01_text.txt	371
000003160_01	000003160	1	1	0000/000003160_01_text.txt	381
000003512_01	000003512	1	3	0000/000003512_01_text.txt	311
000003512_02	000003512	2	3	0000/000003512_02_text.txt	321
000003512_03	000003512	3	3	0000/000003512_03_text.txt	311
000003625_01	000003625	1	1	0000/000003625_01_text.txt	536
000003693_01	000003693	1	1	0000/000003693_01_text.txt	55
000003727_01	000003727	1	1	0000/000003727_01_text.txt	609
000003728_01	000003728	1	1	0000/000003728_01_text.txt	690
000003729_01	000003729	1	1	0000/000003729_01_text.txt	525
000003730_01	000003730	1	1	0000/000003730_01_text.txt	724
000003739_01	000003739	1	1	0000/000003739_01_text.txt	279
000003768_01	000003768	1	1	0000/000003768_01_text.txt	589
000003783_01	000003783	1	1	0000/000003783_01_text.txt	219
000004047_01	000004047	1	1	0000/000004047_01_text.txt	1151
000004336_01	000004336	1	1	0000/000004336_01_text.txt	1426
000004337_01	000004337	1	2	0000/000004337_01_text.txt	724
000004337_02	000004337	2	2	0000/000004337_02_text.txt	738
000004338_01	000004338	1	2	0000/000004338_01_text.txt	663
000004338_02	000004338	2	2	0000/000004338_02_text.txt	580
000004402_01	000004402	1	1	0000/000004402_01_text.txt	1275
000004414_01	000004414	1	2	0000/000004414_01_text.txt	1584
000004414_02	000004414	2	2	0000/000004414_02_text.txt	1903
000004427_01	000004427	1	1	0000/000004427_01_text.txt	1008
000004428_01	000004428	1	1	0000/000004428_01_text.txt	1018
000004439_01	000004439	1	1	0000/000004439_01_text.txt	742
000004466_01	000004466	1	1	0000/000004466_01_text.txt	121
000004507_01	000004507	1	3	0000/000004507_01_text.txt	209
000004507_02	000004507	2	3	0000/000004507_02_text.txt	249
000004507_03	000004507	3	3	0000/000004507_03_text.txt	216
000004598_01	000004598	1	1	0000/000004598_01_text.txt	11
000004599_01	000004599	1	1	0000/000004599_01_text.txt	99
000004671_01	000004671	1	1	0000/000004671_01_text.txt	29
000004884_01	000004884	1	1	0000/000004884_01_text.txt	27
000005165_01	000005165	1	1	0000/000005165_01_text.txt	815
000005294_01	000005294	1	1	0000/000005294_01_text.txt	1760
000005353_01	000005353	1	3	0000/000005353_01_text.txt	234
000005353_02	000005353	2	3	0000/000005353_02_text.txt	233
000005353_03	000005353	3	3	0000/000005353_03_text.txt	220
000005354_01	000005354	1	1	0000/000005354_01_text.txt	265
000005382_01	000005382	1	1	0000/000005382_01_text.txt	1563
000005384_01	000005384	1	1	0000/000005384_01_text.txt	1573
000005385_01	000005385	1	2	0000/000005385_01_text.txt	811
000005385_02	000005385	2	2	0000/000005385_02_text.txt	804
000005389_01	000005389	1	1	0000/000005389_01_text.txt	813
000005444_01	000005444	1	1	0000/000005444_01_text.txt	49
000005453_01	000005453	1	1	0000/000005453_01_text.txt	541
000005645_01	000005645	1	1	0000/000005645_01_text.txt	885
000005935_01	000005935	1	1	0000/000005935_01_text.txt	636
000005937_01	000005937	1	1	0000/000005937_01_text.txt	174
000006036_01	000006036	1	1	0000/000006036_01_text.txt	86
000006298_01	000006298	1	1	0000/000006298_01_text.txt	651
000006451_01	000006451	1	1	0000/000006451_01_text.txt	567
000006455_01	000006455	1	1	0000/000006455_01_text.txt	659
000006496_01	000006496	1	1	0000/000006496_01_text.txt	381
000006499_01	000006499	1	1	0000/000006499_01_text.txt	37
000006821_01	000006821	1	1	0000/000006821_01_text.txt	303
000006832_01	000006832	1	1	0000/000006832_01_text.txt	26
000006835_01	000006835	1	1	0000/000006835_01_text.txt	437
000006866_01	000006866	1	1	0000/000006866_01_text.txt	71
000007630_01	000007630	1	1	0000/000007630_01_text.txt	1142
000007982_01	000007982	1	1	0000/000007982_01_text.txt	16
000008222_01	000008222	1	1	0000/000008222_01_text.txt	136
000008239_01	000008239	1	1	0000/000008239_01_text.txt	51
000008411_01	000008411	1	1	0000/000008411_01_text.txt	494
000008435_01	000008435	1	1	0000/000008435_01_text.txt	72
000008440_01	000008440	1	1	0000/000008440_01_text.txt	66
000008523_01	000008523	1	1	0000/000008523_01_text.txt	22
000008880_01	000008880	1	1	0000/000008880_01_text.txt	101
000008893_01	000008893	1	1	0000/000008893_01_text.txt	858
000009517_01	000009517	1	1	0000/000009517_01_text.txt	66
000010019_01	000010019	1	1	0000/000010019_01_text.txt	1033
000011902_01	000011902	1	1	0000/000011902_01_text.txt	139
000012003_01	000012003	1	1	0000/000012003_01_text.txt	390
000012068_01	000012068	1	2	0000/000012068_01_text.txt	204
000012068_02	000012068	2	2	0000/000012068_02_text.txt	209
000012123_01	000012123	1	1	0000/000012123_01_text.txt	7
000012124_01	000012124	1	1	0000/000012124_01_text.txt	21
000012489_01	000012489	1	1	0000/000012489_01_text.txt	223
000012881_01	000012881	1	1	0000/000012881_01_text.txt	207
000013003_01	000013003	1	1	0000/000013003_01_text.txt	188
000013074_01	000013074	1	1	0000/000013074_01_text.txt	335
000013141_01	000013141	1	1	0000/000013141_01_text.txt	921
000013222_01	000013222	1	1	0000/000013222_01_text.txt	430
000013364_01	000013364	1	1	0000/000013364_01_text.txt	61
000013481_01	000013481	1	2	0000/000013481_01_text.txt	1268
000013481_02	000013481	2	2	0000/000013481_02_text.txt	1231
000013680_01	000013680	1	1	0000/000013680_01_text.txt	225
000014046_01	000014046	1	1	0000/000014046_01_text.txt	316
000014052_01	000014052	1	1	0000/000014052_01_text.txt	157
000014083_01	000014083	1	1	0000/000014083_01_text.txt	222
000014466_01	000014466	1	1	0000/000014466_01_text.txt	27
000014468_01	000014468	1	1	0000/000014468_01_text.txt	3508
000014543_01	000014543	1	1	0000/000014543_01_text.txt	617
000014563_01	000014563	1	1	0000/000014563_01_text.txt	407
000014608_01	000014608	1	1	0000/000014608_01_text.txt	373
000014617_01	000014617	1	3	0000/000014617_01_text.txt	253
